lnglat,cnt
"112.992709,28.113142",0
"113.065596,28.034145",0
"112.600954,28.040604",0
"112.950787,28.215713",0
"113.875294,28.410297",0
"112.626253,27.954207",0
"113.100322,28.183505",0
"112.699314,28.058513",0
"112.926791,28.295228",0
"113.028911,28.122447",0
"111.974938,28.187347",0
"112.974015,28.344477",0
"112.91106,28.428891",0
"112.90821,28.382055",0
"112.080651,28.128755",0
"114.205931,28.373279",0
"113.06224,28.238352",0
"113.653516,27.912683",0
"112.953966,28.200403",0
"112.643262,28.012432",0
"113.053731,28.253885",0
"112.684783,28.301222",0
"112.123609,28.157629",0
"113.321592,27.938716",0
"111.977803,28.18286",0
"112.934615,28.132265",0
"112.793025,28.542108",0
"113.675186,28.435405",0
"112.837913,28.300884",0
"112.979762,28.182658",0
"114.035708,28.312236",0
"113.063115,28.242559",0
"112.99816,28.261998",0
"113.029907,28.108359",0
"112.798321,28.464916",0
"113.938571,28.049337",0
"112.714003,28.093601",0
"112.975446,28.191905",0
"113.645602,28.151858",0
"113.763434,28.424679",0
"113.420206,28.231775",0
"112.924766,28.273165",0
"112.12359,27.995341",0
"113.851176,28.328132",0
"113.062311,28.243413",0
"112.519083,28.099036",0
"112.336164,28.105978",0
"114.20157,28.428299",0
"112.071174,27.993446",0
"113.651851,28.145634",0
"111.97804,28.181633",0
"112.891942,28.196504",0
"112.984677,28.200382",0
"113.013902,28.03708",0
"113.731674,27.995468",0
"112.930561,28.132101",0
"111.97225,28.070109",0
"112.952667,28.173301",0
"112.941305,28.186465",0
"111.975367,28.188269",0
"112.897465,28.287064",0
"113.646529,28.165642",0
"113.885852,28.084745",0
"112.710284,28.138254",0
"112.551877,28.196413",0
"112.924279,28.223451",0
"112.99559,28.259652",0
"112.934772,28.133429",0
"112.147056,28.220181",0
"113.640013,28.157658",0
"112.621165,28.2583",0
"113.038246,28.196774",0
"113.063344,28.242691",0
"112.950599,28.127071",0
"112.675761,28.248024",0
"112.123288,28.158367",0
"113.060125,28.242149",0
"112.95195,28.124328",0
"113.041175,28.135199",0
"113.016242,28.171031",0
"113.042013,28.169297",0
"112.706258,28.423834",0
"113.019796,28.256382",0
"113.035971,28.195829",0
"112.717135,28.237427",0
"113.048266,28.295296",0
"114.085895,28.428856",0
"113.653417,27.912841",0
"113.088626,28.036879",0
"113.888555,28.400022",0
"112.83667,28.472016",0
"113.879742,28.488731",0
"113.005106,28.309703",0
"111.974961,28.188138",0
"112.999215,28.262727",0
"112.955831,28.125103",0
"114.142487,28.393576",0
"112.956981,28.123377",0
"113.449373,28.313896",0
"113.091771,28.009134",0
"112.93227,28.13156",0
"113.064012,28.24314",0
"114.148353,28.390434",0
"112.15099,28.221707",0
"113.002842,28.182691",0
"112.980344,28.275196",0
"112.944388,28.127924",0
"112.956323,28.123214",0
"113.431481,28.423073",0
"114.164999,28.437449",0
"113.322803,28.046158",0
"113.54625,27.980367",0
"112.943796,28.228163",0
"113.047103,28.19183",0
"113.040595,28.15039",0
"112.122423,28.161745",0
"112.685502,28.303327",0
"113.652238,28.145331",0
"112.887065,28.402349",0
"112.951608,28.284048",0
"113.653323,28.173589",0
"112.908904,28.214125",0
"112.983577,28.228845",0
"112.914259,28.222601",0
"113.691644,28.068234",0
"113.093013,28.18137",0
"113.443101,27.99837",0
"112.923742,28.300219",0
"112.924089,28.162604",0
"112.728163,28.102631",0
"113.492572,28.304275",0
